29.541: [GC 29.542: [ParNew: 391936K->37702K(440896K), 0.0721040 secs] 391936K->37702K(8339648K), 0.0722940 secs] [Times: user=1.03 sys=0.07, real=0.07 secs] 
33.548: [GC 33.548: [ParNew: 429638K->48960K(440896K), 0.7949430 secs] 429638K->98337K(8339648K), 0.7950940 secs] [Times: user=2.26 sys=0.29, real=0.79 secs] 
41.337: [GC 41.337: [ParNew: 440896K->48960K(440896K), 0.1955420 secs] 490273K->149609K(8339648K), 0.1956970 secs] [Times: user=3.01 sys=0.11, real=0.20 secs] 
45.106: [GC 45.106: [ParNew: 440896K->48960K(440896K), 0.2003840 secs] 541545K->204541K(8339648K), 0.2005430 secs] [Times: user=1.16 sys=0.16, real=0.20 secs] 
49.436: [GC 49.436: [ParNew: 440896K->41059K(440896K), 0.1167550 secs] 596477K->225908K(8339648K), 0.1169270 secs] [Times: user=0.89 sys=0.10, real=0.12 secs] 
76.513: [GC 76.513: [ParNew: 432995K->48960K(440896K), 0.1167340 secs] 617844K->266109K(8339648K), 0.1169760 secs] [Times: user=1.43 sys=0.04, real=0.12 secs] 
79.898: [GC 79.899: [ParNew: 440896K->48960K(440896K), 0.1309230 secs] 658045K->312691K(8339648K), 0.1312040 secs] [Times: user=1.44 sys=0.14, real=0.13 secs] 
82.415: [GC 82.416: [ParNew: 440896K->48960K(440896K), 0.1131470 secs] 704627K->352027K(8339648K), 0.1135210 secs] [Times: user=1.54 sys=0.06, real=0.12 secs] 
91.284: [GC 91.284: [ParNew: 438944K->32386K(440896K), 0.0372270 secs] 742012K->347495K(8339648K), 0.0375710 secs] [Times: user=0.64 sys=0.02, real=0.04 secs] 
97.016: [GC 97.016: [ParNew: 424322K->33276K(440896K), 0.0302960 secs] 739431K->348385K(8339648K), 0.0306260 secs] [Times: user=0.67 sys=0.01, real=0.03 secs] 
129.370: [GC 129.370: [ParNew: 425212K->25683K(440896K), 0.0438800 secs] 740321K->354312K(8339648K), 0.0442540 secs] [Times: user=0.60 sys=0.03, real=0.04 secs] 
